epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1489,0.79849,0.5146,0.96518,0.94571,0.77953,0.84728,0.6776,0.79363,0.47147,0.9683,0.0083764,0.0083764,0.0083764
43,1523.82,0.79572,0.51556,0.96154,0.93682,0.78173,0.84515,0.67321,0.80433,0.48231,0.97047,0.0083368,0.0083368,0.0083368
44,1557.68,0.78961,0.5105,0.9597,0.93762,0.77387,0.84319,0.66565,0.82138,0.49382,0.97176,0.0082972,0.0082972,0.0082972
45,1591.25,0.78945,0.509,0.96169,0.93179,0.78706,0.84822,0.67234,0.80808,0.48498,0.97022,0.0082576,0.0082576,0.0082576
46,1624.98,0.79462,0.51012,0.96106,0.94014,0.78846,0.85026,0.68054,0.78756,0.4644,0.96457,0.008218,0.008218,0.008218
47,1659.73,0.78453,0.5033,0.95694,0.95238,0.7833,0.84932,0.67875,0.79967,0.46569,0.97042,0.0081784,0.0081784,0.0081784
48,1694.38,0.77526,0.50134,0.95437,0.95302,0.7893,0.85454,0.68254,0.77777,0.45393,0.95726,0.0081388,0.0081388,0.0081388
49,1728.4,0.77699,0.49817,0.95606,0.94927,0.78488,0.85424,0.68229,0.7726,0.45242,0.96167,0.0080992,0.0080992,0.0080992
50,1763.33,0.77664,0.50095,0.95754,0.94689,0.78319,0.8514,0.68225,0.78035,0.46116,0.95693,0.0080596,0.0080596,0.0080596
51,1796.85,0.77259,0.49772,0.95526,0.94493,0.79371,0.85179,0.68373,0.77095,0.45826,0.96654,0.00802,0.00802,0.00802
52,1830.23,0.76813,0.4945,0.95258,0.93724,0.79559,0.85164,0.68636,0.76865,0.44966,0.96218,0.0079804,0.0079804,0.0079804
53,1863.88,0.76441,0.48946,0.95018,0.94764,0.7941,0.85653,0.69108,0.76809,0.44587,0.96064,0.0079408,0.0079408,0.0079408
54,1898.08,0.76512,0.48977,0.95079,0.94965,0.79306,0.85231,0.68748,0.77548,0.45152,0.9607,0.0079012,0.0079012,0.0079012
55,1933.52,0.76382,0.48965,0.947,0.94557,0.7998,0.85669,0.69486,0.75254,0.44387,0.95039,0.0078616,0.0078616,0.0078616
56,1969.06,0.75985,0.48709,0.94969,0.94398,0.80199,0.85963,0.69467,0.75096,0.44206,0.95097,0.007822,0.007822,0.007822
57,2003.71,0.75375,0.48145,0.94599,0.94451,0.80237,0.85977,0.69384,0.75941,0.4371,0.95227,0.0077824,0.0077824,0.0077824
58,2038.87,0.75897,0.48268,0.94837,0.9466,0.79243,0.85775,0.69581,0.75555,0.43614,0.94771,0.0077428,0.0077428,0.0077428
59,2072.83,0.75227,0.48036,0.94515,0.94736,0.80408,0.8609,0.69466,0.76187,0.44037,0.95543,0.0077032,0.0077032,0.0077032
60,2106.85,0.74589,0.47662,0.94206,0.95232,0.79413,0.85653,0.6942,0.7607,0.4343,0.95614,0.0076636,0.0076636,0.0076636
61,2141.21,0.74402,0.47381,0.94091,0.95292,0.79634,0.86112,0.69881,0.74446,0.43066,0.94448,0.007624,0.007624,0.007624
62,2176.12,0.74583,0.47724,0.94211,0.95095,0.79554,0.85848,0.69227,0.75812,0.43795,0.95377,0.0075844,0.0075844,0.0075844
63,2210.66,0.74023,0.47267,0.9389,0.9522,0.80098,0.86009,0.69735,0.75578,0.42975,0.94822,0.0075448,0.0075448,0.0075448
64,2245.02,0.73655,0.46858,0.94004,0.95786,0.7967,0.86148,0.69958,0.74882,0.43174,0.94828,0.0075052,0.0075052,0.0075052
65,2279.51,0.73679,0.46897,0.94123,0.94755,0.80316,0.86117,0.70373,0.74274,0.42704,0.94871,0.0074656,0.0074656,0.0074656
66,2314.6,0.73875,0.47211,0.93817,0.94918,0.79996,0.85998,0.70192,0.73728,0.42848,0.94665,0.007426,0.007426,0.007426
67,2348.43,0.73167,0.46542,0.93647,0.95787,0.79731,0.86083,0.70088,0.74574,0.42513,0.9498,0.0073864,0.0073864,0.0073864
68,2382.63,0.73536,0.46793,0.93915,0.95129,0.8058,0.86389,0.7064,0.73756,0.4202,0.94685,0.0073468,0.0073468,0.0073468
69,2417.03,0.72891,0.46458,0.93738,0.94863,0.80097,0.86133,0.70139,0.74558,0.42089,0.95825,0.0073072,0.0073072,0.0073072
70,2451.43,0.72444,0.46266,0.93566,0.94908,0.80201,0.86124,0.70199,0.7402,0.42275,0.95148,0.0072676,0.0072676,0.0072676
71,2485.52,0.72965,0.46237,0.93696,0.95783,0.80029,0.86555,0.70501,0.73909,0.41906,0.94407,0.007228,0.007228,0.007228
72,2519.72,0.72565,0.46181,0.93735,0.95734,0.80241,0.86514,0.70855,0.732,0.41907,0.94997,0.0071884,0.0071884,0.0071884
73,2553.47,0.72068,0.4577,0.93556,0.95083,0.80794,0.86517,0.71073,0.73224,0.41842,0.94499,0.0071488,0.0071488,0.0071488
74,2587.68,0.71961,0.46026,0.93496,0.95939,0.80206,0.86251,0.70536,0.73084,0.41976,0.9441,0.0071092,0.0071092,0.0071092
75,2622.31,0.71802,0.45653,0.93526,0.94837,0.81038,0.86413,0.70469,0.73547,0.41683,0.94479,0.0070696,0.0070696,0.0070696
76,2656.79,0.71755,0.4516,0.93271,0.95422,0.80692,0.86678,0.71032,0.72593,0.41698,0.94497,0.00703,0.00703,0.00703
77,2691.18,0.71402,0.44925,0.93294,0.9574,0.80725,0.86472,0.70944,0.73109,0.41111,0.9461,0.0069904,0.0069904,0.0069904
78,2725.25,0.71042,0.45031,0.93031,0.95986,0.80972,0.86766,0.71167,0.72267,0.40888,0.9428,0.0069508,0.0069508,0.0069508
79,2759.5,0.70913,0.44749,0.93145,0.96534,0.80326,0.86566,0.71116,0.71905,0.40602,0.93994,0.0069112,0.0069112,0.0069112
80,2793.98,0.70676,0.44567,0.92756,0.96081,0.81144,0.86836,0.71422,0.72064,0.40371,0.93894,0.0068716,0.0068716,0.0068716
81,2828.67,0.70512,0.44533,0.93065,0.95941,0.8113,0.86851,0.71434,0.71984,0.40524,0.941,0.006832,0.006832,0.006832
82,2862.63,0.70064,0.44331,0.92742,0.94824,0.81455,0.8665,0.70921,0.72529,0.40549,0.94213,0.0067924,0.0067924,0.0067924
83,2896.14,0.7029,0.44354,0.92968,0.94784,0.81362,0.86727,0.71261,0.72105,0.40649,0.94333,0.0067528,0.0067528,0.0067528
84,2929.92,0.69804,0.44328,0.92785,0.96142,0.81003,0.86923,0.71173,0.72664,0.40538,0.94461,0.0067132,0.0067132,0.0067132
85,2963.83,0.69723,0.4422,0.92548,0.95344,0.81327,0.86961,0.71542,0.71712,0.40593,0.94147,0.0066736,0.0066736,0.0066736
86,2998.33,0.69722,0.4401,0.92724,0.96337,0.80862,0.86674,0.71626,0.70923,0.40464,0.93909,0.006634,0.006634,0.006634
87,3032.33,0.693,0.43536,0.9253,0.96241,0.80831,0.86867,0.71792,0.70753,0.40146,0.94171,0.0065944,0.0065944,0.0065944
88,3066.76,0.69235,0.43703,0.92427,0.94999,0.81459,0.86689,0.71304,0.71608,0.40044,0.94764,0.0065548,0.0065548,0.0065548
89,3100.81,0.6913,0.4373,0.92672,0.96106,0.81257,0.86896,0.71605,0.71382,0.39974,0.94559,0.0065152,0.0065152,0.0065152
90,3134.93,0.68832,0.43343,0.92523,0.95571,0.81454,0.87007,0.72129,0.70995,0.39852,0.94376,0.0064756,0.0064756,0.0064756
91,3169.06,0.68848,0.43443,0.92383,0.95635,0.81269,0.86846,0.71728,0.71703,0.4012,0.94221,0.006436,0.006436,0.006436
92,3203.03,0.68392,0.43028,0.92253,0.95146,0.8152,0.871,0.71928,0.70914,0.39834,0.94247,0.0063964,0.0063964,0.0063964
93,3236.87,0.68741,0.43036,0.92129,0.96093,0.81065,0.86941,0.72086,0.70252,0.3968,0.93358,0.0063568,0.0063568,0.0063568
94,3271.21,0.68761,0.42973,0.92088,0.96468,0.81342,0.87163,0.71832,0.71206,0.39508,0.93909,0.0063172,0.0063172,0.0063172
95,3305.42,0.68621,0.42968,0.91993,0.96162,0.81283,0.87104,0.71847,0.71019,0.39663,0.93765,0.0062776,0.0062776,0.0062776
96,3339.23,0.67893,0.42709,0.91699,0.96044,0.81532,0.87171,0.7223,0.70339,0.39768,0.93328,0.006238,0.006238,0.006238
97,3373.37,0.67738,0.4275,0.91772,0.95835,0.81744,0.87132,0.7193,0.70717,0.39701,0.93656,0.0061984,0.0061984,0.0061984
98,3407.7,0.67615,0.42604,0.91759,0.9597,0.81764,0.87156,0.72259,0.70003,0.39113,0.93555,0.0061588,0.0061588,0.0061588
99,3442.05,0.67505,0.42262,0.91705,0.96403,0.81434,0.87186,0.72232,0.70109,0.3908,0.93679,0.0061192,0.0061192,0.0061192
100,3476.24,0.66864,0.4209,0.91516,0.95768,0.81799,0.87196,0.72322,0.70243,0.38997,0.93659,0.0060796,0.0060796,0.0060796
101,3510.62,0.66964,0.42213,0.91781,0.9643,0.81145,0.87164,0.72203,0.70326,0.39028,0.93708,0.00604,0.00604,0.00604
102,3544.6,0.6677,0.41929,0.91527,0.9624,0.81872,0.87282,0.72231,0.70859,0.39122,0.93732,0.0060004,0.0060004,0.0060004
103,3578.86,0.66541,0.41848,0.91291,0.96312,0.81917,0.87265,0.72271,0.70548,0.39254,0.93815,0.0059608,0.0059608,0.0059608
104,3612.83,0.66305,0.41803,0.91186,0.95629,0.82296,0.87193,0.72415,0.69861,0.39099,0.93293,0.0059212,0.0059212,0.0059212
105,3646.7,0.66406,0.41567,0.91346,0.95899,0.81909,0.87269,0.72427,0.69773,0.38993,0.93532,0.0058816,0.0058816,0.0058816
106,3680.44,0.66234,0.41551,0.91452,0.95815,0.82007,0.87073,0.72491,0.69665,0.38835,0.9353,0.005842,0.005842,0.005842
