epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
26,800.783,1.06618,0.80968,1.06033,0.86871,0.65915,0.74379,0.53704,1.05483,0.76943,1.05875,0.00901,0.00901,0.00901
27,827.994,1.06749,0.80307,1.0592,0.82527,0.641,0.71156,0.50694,1.10018,0.82893,1.07667,0.0089704,0.0089704,0.0089704
28,859.257,1.0698,0.81059,1.0606,0.86022,0.6833,0.75678,0.54784,1.04219,0.7465,1.05304,0.0089308,0.0089308,0.0089308
29,887.468,1.05694,0.79683,1.05513,0.87496,0.69207,0.76475,0.548,1.04351,0.73806,1.0504,0.0088912,0.0088912,0.0088912
30,918.791,1.05527,0.78844,1.05157,0.87025,0.68217,0.75622,0.54675,1.03192,0.72971,1.04677,0.0088516,0.0088516,0.0088516
31,949.974,1.05185,0.7826,1.05091,0.87503,0.68679,0.76166,0.5548,1.03544,0.74127,1.05207,0.008812,0.008812,0.008812
32,977.19,1.04612,0.78247,1.05172,0.86573,0.67859,0.7541,0.5425,1.04861,0.73668,1.05056,0.0087724,0.0087724,0.0087724
33,1008.74,1.04689,0.77775,1.04949,0.88974,0.69126,0.76914,0.56652,1.02625,0.70874,1.03994,0.0087328,0.0087328,0.0087328
34,1039.72,1.0461,0.77605,1.04995,0.8668,0.68493,0.75835,0.54478,1.04574,0.73529,1.0438,0.0086932,0.0086932,0.0086932
35,1067.65,1.04067,0.76976,1.04916,0.88183,0.68164,0.76633,0.56051,1.01166,0.71783,1.04338,0.0086536,0.0086536,0.0086536
36,1098.84,1.03147,0.7583,1.04101,0.89158,0.69964,0.78034,0.57054,1.00608,0.68862,1.02883,0.008614,0.008614,0.008614
37,1127.05,1.02728,0.75249,1.04153,0.88306,0.68698,0.76777,0.56008,1.02489,0.73248,1.05082,0.0085744,0.0085744,0.0085744
38,1158.26,1.02689,0.75331,1.04368,0.87017,0.70232,0.76721,0.55562,1.03189,0.7123,1.04099,0.0085348,0.0085348,0.0085348
39,1189.38,1.02743,0.75358,1.04223,0.85159,0.67112,0.74269,0.51492,1.09585,0.78854,1.07311,0.0084952,0.0084952,0.0084952
40,1216.28,1.02137,0.74628,1.04091,0.90504,0.68175,0.77113,0.56722,1.00773,0.69097,1.03564,0.0084556,0.0084556,0.0084556
41,1247.65,1.02431,0.74738,1.04061,0.87515,0.6848,0.76282,0.55377,1.01466,0.72374,1.03964,0.008416,0.008416,0.008416
42,1278.89,1.01461,0.73765,1.0383,0.91799,0.69626,0.78285,0.57799,1.00868,0.66281,1.03305,0.0083764,0.0083764,0.0083764
43,1305.95,1.01672,0.73703,1.03576,0.88944,0.69727,0.77269,0.55371,1.04573,0.69198,1.04309,0.0083368,0.0083368,0.0083368
44,1337.89,1.01181,0.73231,1.03395,0.89588,0.70389,0.78557,0.58294,0.97759,0.66847,1.0221,0.0082972,0.0082972,0.0082972
45,1365.72,1.01192,0.72828,1.03585,0.90697,0.70803,0.78409,0.57746,0.98941,0.67375,1.01653,0.0082576,0.0082576,0.0082576
46,1397.56,1.02007,0.73387,1.03463,0.90173,0.72288,0.79322,0.58863,0.98651,0.64445,1.02653,0.008218,0.008218,0.008218
47,1427.76,1.01216,0.72772,1.03446,0.89556,0.70719,0.78207,0.57731,0.9779,0.65884,1.02391,0.0081784,0.0081784,0.0081784
48,1456.89,1.00126,0.72383,1.0291,0.89642,0.70247,0.7815,0.57973,0.96888,0.64285,1.01938,0.0081388,0.0081388,0.0081388
49,1488.68,0.99966,0.7172,1.03036,0.88633,0.70573,0.78271,0.57759,0.97089,0.6589,1.0157,0.0080992,0.0080992,0.0080992
50,1518.19,0.99975,0.72063,1.03133,0.8745,0.70456,0.77656,0.5659,1.00137,0.66291,1.02741,0.0080596,0.0080596,0.0080596
51,1548.1,0.9993,0.7189,1.02784,0.83059,0.6631,0.73834,0.50464,1.06559,0.72105,1.06329,0.00802,0.00802,0.00802
52,1578.03,0.99549,0.71386,1.0271,0.91668,0.72749,0.79937,0.59771,0.95586,0.61868,1.01192,0.0079804,0.0079804,0.0079804
53,1606.45,0.99331,0.7094,1.02536,0.91525,0.71656,0.79681,0.59776,0.95339,0.61811,1.01267,0.0079408,0.0079408,0.0079408
54,1637.45,0.98952,0.70707,1.02638,0.88457,0.70249,0.77854,0.57344,0.98876,0.68505,1.02283,0.0079012,0.0079012,0.0079012
55,1666.81,0.98987,0.70382,1.0224,0.91781,0.7248,0.79829,0.59932,0.9481,0.61434,1.00921,0.0078616,0.0078616,0.0078616
56,1696.34,0.98717,0.70505,1.02467,0.91086,0.71987,0.80012,0.59985,0.95308,0.61365,1.00638,0.007822,0.007822,0.007822
57,1727.49,0.98208,0.69844,1.02203,0.86025,0.70038,0.77141,0.56719,0.98488,0.73877,1.02503,0.0077824,0.0077824,0.0077824
58,1757.43,0.9902,0.70288,1.0251,0.91192,0.71191,0.79153,0.5927,0.95477,0.63555,1.01083,0.0077428,0.0077428,0.0077428
59,1787.07,0.98577,0.69942,1.02338,0.88798,0.71079,0.78898,0.58298,0.97456,0.68033,1.01745,0.0077032,0.0077032,0.0077032
60,1818.26,0.97831,0.69724,1.01893,0.91423,0.7213,0.79597,0.59709,0.95748,0.6307,1.00598,0.0076636,0.0076636,0.0076636
61,1846.38,0.97939,0.69567,1.01841,0.91234,0.7278,0.80141,0.59669,0.94921,0.61733,1.00495,0.007624,0.007624,0.007624
62,1877.83,0.97988,0.69376,1.02115,0.8892,0.70084,0.77199,0.55803,1.00414,0.72913,1.03701,0.0075844,0.0075844,0.0075844
63,1907.4,0.97297,0.68741,1.01635,0.91679,0.72403,0.79656,0.59884,0.94947,0.62679,1.00766,0.0075448,0.0075448,0.0075448
64,1937.33,0.96965,0.68613,1.01554,0.9268,0.73512,0.80881,0.60582,0.94051,0.59427,1.00495,0.0075052,0.0075052,0.0075052
65,1968.82,0.97227,0.68465,1.0182,0.90773,0.72914,0.79946,0.59865,0.94718,0.62506,1.00656,0.0074656,0.0074656,0.0074656
66,1997.37,0.97626,0.68602,1.01474,0.9194,0.7254,0.80405,0.60776,0.93526,0.60109,1.00164,0.007426,0.007426,0.007426
67,2027.68,0.96842,0.67895,1.01541,0.92957,0.73228,0.81125,0.61467,0.91799,0.57846,0.99412,0.0073864,0.0073864,0.0073864
68,2058.84,0.96906,0.683,1.01601,0.9121,0.71188,0.79616,0.59269,0.94063,0.60935,0.9998,0.0073468,0.0073468,0.0073468
69,2086.79,0.96834,0.68181,1.01575,0.92764,0.72798,0.8041,0.60457,0.94065,0.60196,1.00527,0.0073072,0.0073072,0.0073072
70,2118.03,0.965,0.67676,1.01343,0.91235,0.72607,0.80436,0.604,0.92738,0.62002,0.9978,0.0072676,0.0072676,0.0072676
71,2147.29,0.96508,0.67969,1.01342,0.92534,0.73285,0.80658,0.60816,0.92952,0.58799,0.99867,0.007228,0.007228,0.007228
72,2177.43,0.96361,0.67605,1.01442,0.93264,0.73012,0.81191,0.61366,0.92034,0.57737,0.99898,0.0071884,0.0071884,0.0071884
73,2208.44,0.96156,0.6695,1.01273,0.92074,0.74028,0.81239,0.61597,0.91466,0.5913,0.98819,0.0071488,0.0071488,0.0071488
74,2238.36,0.95892,0.67302,1.01211,0.92185,0.72592,0.80688,0.61362,0.92352,0.59354,0.99671,0.0071092,0.0071092,0.0071092
75,2268.01,0.9595,0.67214,1.01355,0.92891,0.7359,0.81285,0.61545,0.90698,0.57152,0.98866,0.0070696,0.0070696,0.0070696
76,2298.57,0.95377,0.66387,1.00918,0.91732,0.73682,0.80854,0.61254,0.91584,0.59842,0.99444,0.00703,0.00703,0.00703
77,2327.53,0.95517,0.66712,1.01115,0.91889,0.74305,0.8122,0.61527,0.91168,0.57338,0.99095,0.0069904,0.0069904,0.0069904
78,2358.37,0.95328,0.66492,1.00866,0.92534,0.74427,0.81456,0.61985,0.90137,0.57272,0.98963,0.0069508,0.0069508,0.0069508
79,2388.89,0.948,0.66165,1.00852,0.92274,0.7355,0.81148,0.61998,0.90361,0.57781,0.98718,0.0069112,0.0069112,0.0069112
80,2418.15,0.95001,0.66137,1.00924,0.92725,0.73286,0.80981,0.60872,0.92365,0.57794,1.00267,0.0068716,0.0068716,0.0068716
81,2449.69,0.94944,0.6615,1.0104,0.93076,0.74765,0.81652,0.62102,0.91105,0.56829,0.9914,0.006832,0.006832,0.006832
82,2478.42,0.94093,0.6533,1.0057,0.93072,0.74634,0.81687,0.61754,0.91206,0.56907,0.99379,0.0067924,0.0067924,0.0067924
83,2509.32,0.94276,0.65506,1.00602,0.93005,0.74127,0.81795,0.62194,0.90035,0.56578,0.98847,0.0067528,0.0067528,0.0067528
84,2538.49,0.94665,0.6589,1.00866,0.92054,0.74606,0.81461,0.61935,0.90372,0.56828,0.98724,0.0067132,0.0067132,0.0067132
85,2568.53,0.94431,0.657,1.00453,0.93847,0.74182,0.81937,0.62451,0.89636,0.56062,0.98505,0.0066736,0.0066736,0.0066736
86,2599.28,0.94097,0.65705,1.00411,0.93759,0.74374,0.82059,0.62186,0.89927,0.55618,0.9873,0.006634,0.006634,0.006634
87,2629.33,0.93931,0.65059,1.00313,0.93642,0.74522,0.82107,0.6236,0.901,0.55936,0.99161,0.0065944,0.0065944,0.0065944
88,2658.56,0.9426,0.64993,1.00412,0.93418,0.73706,0.81761,0.62242,0.90087,0.56078,0.99267,0.0065548,0.0065548,0.0065548
89,2690.01,0.93686,0.65244,1.00324,0.93692,0.74098,0.81829,0.62496,0.89675,0.55871,0.98189,0.0065152,0.0065152,0.0065152
90,2719.93,0.93303,0.64757,1.00095,0.91777,0.74979,0.81789,0.62342,0.89022,0.56021,0.98215,0.0064756,0.0064756,0.0064756
91,2749.21,0.93585,0.64654,1.00246,0.91985,0.7507,0.81769,0.61934,0.90785,0.56098,0.98985,0.006436,0.006436,0.006436
92,2778.78,0.93241,0.64654,0.99911,0.92309,0.754,0.82118,0.62758,0.88796,0.55281,0.98124,0.0063964,0.0063964,0.0063964
93,2809.54,0.93382,0.64341,0.99974,0.92342,0.74483,0.81825,0.62607,0.88511,0.55245,0.97666,0.0063568,0.0063568,0.0063568
94,2839.72,0.93687,0.64348,1.00068,0.9363,0.74061,0.82214,0.62745,0.8817,0.54588,0.97974,0.0063172,0.0063172,0.0063172
95,2869.34,0.93434,0.64066,0.99906,0.93765,0.74971,0.82304,0.62891,0.88593,0.54478,0.9803,0.0062776,0.0062776,0.0062776
96,2899.48,0.92505,0.63715,0.99449,0.9408,0.7389,0.82041,0.62469,0.89207,0.56209,0.97992,0.006238,0.006238,0.006238
97,2930.51,0.92312,0.63366,0.99637,0.91879,0.75482,0.82168,0.62717,0.88747,0.54778,0.98121,0.0061984,0.0061984,0.0061984
98,2959.61,0.92598,0.6345,0.99287,0.94518,0.74091,0.82339,0.63127,0.88341,0.54232,0.97572,0.0061588,0.0061588,0.0061588
99,2989.61,0.92671,0.63407,0.99418,0.94153,0.74507,0.82448,0.6321,0.87552,0.54189,0.97303,0.0061192,0.0061192,0.0061192
100,3019.52,0.91645,0.6328,0.99072,0.94406,0.74475,0.82307,0.63057,0.87539,0.5406,0.9709,0.0060796,0.0060796,0.0060796
101,3049.71,0.92064,0.63419,0.99444,0.93323,0.75327,0.82286,0.63223,0.8741,0.53707,0.97229,0.00604,0.00604,0.00604
102,3079.99,0.91484,0.62754,0.99214,0.92759,0.75628,0.82444,0.632,0.87257,0.54143,0.9699,0.0060004,0.0060004,0.0060004
103,3109.03,0.91746,0.62807,0.99029,0.9291,0.7506,0.81962,0.6274,0.882,0.54849,0.97878,0.0059608,0.0059608,0.0059608
104,3139.11,0.91209,0.62632,0.98887,0.93839,0.75334,0.82558,0.63665,0.86917,0.53127,0.97012,0.0059212,0.0059212,0.0059212
105,3169.73,0.91602,0.62655,0.99056,0.93222,0.75283,0.82502,0.63405,0.8696,0.53304,0.9718,0.0058816,0.0058816,0.0058816
106,3199.47,0.91301,0.62482,0.99055,0.93362,0.74901,0.82612,0.63461,0.87002,0.53222,0.97297,0.005842,0.005842,0.005842
107,3229.24,0.91263,0.62069,0.98928,0.9419,0.74977,0.82672,0.63631,0.86141,0.52855,0.96478,0.0058024,0.0058024,0.0058024
108,3259.26,0.90712,0.61827,0.98663,0.92604,0.75555,0.82739,0.63622,0.86995,0.53235,0.9679,0.0057628,0.0057628,0.0057628
109,3287.48,0.91121,0.62399,0.98941,0.9362,0.75515,0.82809,0.63608,0.87153,0.52961,0.96793,0.0057232,0.0057232,0.0057232
110,3319.45,0.91105,0.61773,0.98396,0.93327,0.75956,0.82598,0.63699,0.86322,0.52973,0.96832,0.0056836,0.0056836,0.0056836
111,3348.96,0.9106,0.61764,0.98602,0.9309,0.75467,0.82533,0.63088,0.87757,0.53626,0.97494,0.005644,0.005644,0.005644
112,3377.94,0.90907,0.62147,0.98659,0.93427,0.75316,0.82675,0.63485,0.87015,0.53414,0.9727,0.0056044,0.0056044,0.0056044
113,3409.15,0.90674,0.61685,0.98406,0.93206,0.75252,0.82646,0.63557,0.86852,0.52912,0.96757,0.0055648,0.0055648,0.0055648
114,3438.56,0.90223,0.61195,0.98376,0.92915,0.75989,0.82876,0.63905,0.86414,0.52799,0.96513,0.0055252,0.0055252,0.0055252
115,3467.66,0.9005,0.61195,0.98306,0.92613,0.75628,0.82766,0.6373,0.86701,0.53291,0.96708,0.0054856,0.0054856,0.0054856
116,3498.59,0.89915,0.60889,0.98193,0.93797,0.7561,0.83023,0.64144,0.85833,0.51992,0.96245,0.005446,0.005446,0.005446
117,3527.07,0.89904,0.61025,0.98248,0.92967,0.76172,0.82802,0.63889,0.86337,0.52536,0.96598,0.0054064,0.0054064,0.0054064
118,3558.15,0.8994,0.61307,0.98165,0.93184,0.75867,0.82813,0.64134,0.8563,0.52424,0.962,0.0053668,0.0053668,0.0053668
119,3588.02,0.89766,0.60785,0.98052,0.93347,0.758,0.82849,0.63973,0.86046,0.52384,0.96051,0.0053272,0.0053272,0.0053272
120,3616.78,0.89329,0.60984,0.98089,0.93184,0.75769,0.82891,0.63891,0.85873,0.52097,0.96183,0.0052876,0.0052876,0.0052876
121,3648.69,0.89567,0.60437,0.97826,0.92564,0.76479,0.82956,0.63942,0.86203,0.52156,0.9638,0.005248,0.005248,0.005248
122,3677.89,0.89674,0.61014,0.97953,0.9355,0.75717,0.82959,0.64078,0.85549,0.51879,0.96091,0.0052084,0.0052084,0.0052084
123,3707.08,0.89339,0.60946,0.98107,0.9319,0.76193,0.83136,0.64305,0.85549,0.52098,0.96022,0.0051688,0.0051688,0.0051688
124,3737.99,0.8956,0.60635,0.97851,0.93822,0.75565,0.83084,0.64227,0.85393,0.5184,0.96033,0.0051292,0.0051292,0.0051292
125,3765.88,0.89284,0.60392,0.98018,0.93036,0.76768,0.83072,0.64221,0.85577,0.51751,0.96059,0.0050896,0.0050896,0.0050896
126,3797.03,0.88935,0.60354,0.97824,0.93352,0.76268,0.82976,0.64066,0.85838,0.51718,0.96082,0.00505,0.00505,0.00505
127,3826.53,0.88834,0.59849,0.97553,0.9398,0.75725,0.8305,0.64186,0.85235,0.51343,0.95754,0.0050104,0.0050104,0.0050104
128,3855.89,0.88529,0.60016,0.97382,0.93209,0.76081,0.83025,0.64067,0.85196,0.51332,0.95872,0.0049708,0.0049708,0.0049708
129,3887.58,0.88435,0.59725,0.97299,0.93641,0.75717,0.83141,0.64144,0.8515,0.51313,0.96003,0.0049312,0.0049312,0.0049312
130,3916.51,0.88783,0.59835,0.97445,0.93342,0.76186,0.83198,0.64252,0.85461,0.51663,0.96056,0.0048916,0.0048916,0.0048916
131,3946.09,0.8873,0.59829,0.97556,0.93705,0.75854,0.83368,0.64412,0.85098,0.51099,0.9596,0.004852,0.004852,0.004852
132,3977.61,0.88853,0.60021,0.9735,0.92989,0.76424,0.83367,0.64694,0.84761,0.50707,0.95622,0.0048124,0.0048124,0.0048124
133,4004.87,0.87982,0.5942,0.97454,0.93221,0.76176,0.83211,0.64357,0.85019,0.50875,0.95753,0.0047728,0.0047728,0.0047728
134,4036.17,0.88008,0.59255,0.97166,0.93748,0.75813,0.83167,0.6437,0.85094,0.50687,0.96087,0.0047332,0.0047332,0.0047332
135,4066.76,0.88068,0.59085,0.97359,0.92401,0.76955,0.83367,0.64586,0.84663,0.50562,0.95741,0.0046936,0.0046936,0.0046936
136,4095.47,0.87841,0.59089,0.97114,0.93838,0.76178,0.83467,0.6473,0.84567,0.50441,0.95735,0.004654,0.004654,0.004654
137,4127.22,0.88079,0.59143,0.97141,0.94079,0.76082,0.83519,0.64755,0.84614,0.50287,0.95667,0.0046144,0.0046144,0.0046144
138,4157.14,0.87523,0.58948,0.96934,0.93271,0.76509,0.83407,0.64703,0.8452,0.50487,0.95676,0.0045748,0.0045748,0.0045748
139,4185.92,0.8751,0.58614,0.97176,0.92869,0.76452,0.8344,0.64838,0.84245,0.50369,0.95471,0.0045352,0.0045352,0.0045352
140,4217.16,0.87436,0.58615,0.97043,0.92756,0.76739,0.83456,0.64977,0.84242,0.50371,0.95469,0.0044956,0.0044956,0.0044956
141,4245.09,0.87583,0.59077,0.96924,0.92998,0.76602,0.83423,0.6481,0.84093,0.50437,0.95415,0.004456,0.004456,0.004456
142,4276.8,0.87247,0.58602,0.96939,0.9337,0.76469,0.83525,0.64913,0.83952,0.50245,0.95246,0.0044164,0.0044164,0.0044164
143,4307.39,0.87042,0.58389,0.96823,0.93766,0.76617,0.83577,0.64956,0.83667,0.5005,0.95199,0.0043768,0.0043768,0.0043768
144,4335.69,0.87005,0.58355,0.97076,0.9267,0.77333,0.83551,0.64923,0.8374,0.50108,0.95288,0.0043372,0.0043372,0.0043372
145,4367.14,0.86379,0.57783,0.96418,0.932,0.76754,0.8361,0.65074,0.835,0.49876,0.95108,0.0042976,0.0042976,0.0042976
146,4397.49,0.86819,0.57992,0.96937,0.94053,0.76494,0.83581,0.64936,0.83638,0.4993,0.95233,0.004258,0.004258,0.004258
147,4425.92,0.87064,0.58195,0.97075,0.93244,0.76922,0.83592,0.6503,0.83592,0.49884,0.95173,0.0042184,0.0042184,0.0042184
148,4457.4,0.865,0.57753,0.96688,0.93663,0.76686,0.83639,0.65043,0.83609,0.49732,0.95191,0.0041788,0.0041788,0.0041788
149,4485.5,0.86448,0.57589,0.96525,0.93688,0.76786,0.83614,0.6497,0.83762,0.49707,0.95296,0.0041392,0.0041392,0.0041392
150,4516.19,0.86073,0.57699,0.96619,0.9351,0.7699,0.83666,0.65064,0.83622,0.49733,0.95318,0.0040996,0.0040996,0.0040996
151,4546.43,0.86247,0.57675,0.96457,0.93474,0.76795,0.83547,0.64962,0.83819,0.49794,0.95386,0.00406,0.00406,0.00406
152,4575.95,0.86437,0.58073,0.96793,0.93574,0.76817,0.83587,0.65019,0.83596,0.49635,0.95308,0.0040204,0.0040204,0.0040204
153,4605.47,0.86394,0.57576,0.96535,0.93693,0.76437,0.83622,0.65042,0.83526,0.49747,0.95289,0.0039808,0.0039808,0.0039808
154,4636.77,0.85594,0.57481,0.96353,0.93488,0.76347,0.83525,0.64967,0.8352,0.4983,0.9527,0.0039412,0.0039412,0.0039412
155,4665.79,0.8547,0.57359,0.96395,0.93636,0.76409,0.83573,0.65064,0.83528,0.49915,0.95253,0.0039016,0.0039016,0.0039016
156,4696.67,0.85764,0.5716,0.96298,0.93457,0.76768,0.83663,0.65124,0.83538,0.49916,0.95215,0.003862,0.003862,0.003862
157,4725.9,0.8555,0.57064,0.9623,0.93031,0.77155,0.83726,0.6522,0.83332,0.49657,0.9512,0.0038224,0.0038224,0.0038224
158,4756.34,0.85638,0.57162,0.96454,0.93004,0.77333,0.83754,0.6515,0.83121,0.4968,0.94985,0.0037828,0.0037828,0.0037828
159,4786.5,0.85467,0.56913,0.96216,0.93286,0.77276,0.83799,0.65241,0.83016,0.49434,0.94953,0.0037432,0.0037432,0.0037432
160,4815.89,0.85033,0.56614,0.96023,0.93639,0.77097,0.83866,0.65302,0.82989,0.49267,0.94938,0.0037036,0.0037036,0.0037036
161,4847.12,0.84622,0.56408,0.96054,0.9356,0.76938,0.83863,0.65339,0.83007,0.49242,0.9495,0.003664,0.003664,0.003664
162,4876.13,0.84715,0.56438,0.958,0.93602,0.77015,0.83854,0.65337,0.83073,0.49165,0.94939,0.0036244,0.0036244,0.0036244
163,4906.29,0.84715,0.56552,0.96023,0.93678,0.77215,0.83929,0.6544,0.83031,0.49159,0.94904,0.0035848,0.0035848,0.0035848
164,4937.66,0.85039,0.56854,0.96048,0.93303,0.77564,0.83992,0.65484,0.82975,0.49065,0.94869,0.0035452,0.0035452,0.0035452
165,4965.76,0.84284,0.55966,0.95613,0.93222,0.7749,0.83883,0.65483,0.8303,0.49111,0.94912,0.0035056,0.0035056,0.0035056
166,4996.32,0.83807,0.556,0.95634,0.93215,0.77703,0.83898,0.65395,0.83069,0.49162,0.94891,0.003466,0.003466,0.003466
167,5025.65,0.84517,0.56422,0.95687,0.93168,0.77543,0.83876,0.65441,0.83038,0.49044,0.94875,0.0034264,0.0034264,0.0034264
168,5055.35,0.84418,0.56082,0.9567,0.93309,0.77594,0.83933,0.65425,0.82982,0.48931,0.9487,0.0033868,0.0033868,0.0033868
169,5086.62,0.84109,0.56191,0.95841,0.92756,0.77918,0.83951,0.65486,0.82966,0.48878,0.94855,0.0033472,0.0033472,0.0033472
170,5115.31,0.84346,0.5609,0.95716,0.92728,0.77925,0.83988,0.65493,0.82918,0.48837,0.94778,0.0033076,0.0033076,0.0033076
171,5145.34,0.8399,0.55531,0.95521,0.92913,0.77938,0.8406,0.65494,0.82858,0.48835,0.9476,0.003268,0.003268,0.003268
172,5176.86,0.83657,0.55091,0.95419,0.93352,0.77672,0.84044,0.65515,0.82814,0.48847,0.9473,0.0032284,0.0032284,0.0032284
173,5204.94,0.83575,0.55724,0.95571,0.93473,0.77801,0.8406,0.65573,0.82773,0.48837,0.94696,0.0031888,0.0031888,0.0031888
174,5235.64,0.83309,0.55242,0.95298,0.93553,0.77844,0.84026,0.6551,0.82761,0.48798,0.94729,0.0031492,0.0031492,0.0031492
175,5264.52,0.83519,0.55423,0.95568,0.93689,0.77662,0.84086,0.65573,0.82695,0.48763,0.94697,0.0031096,0.0031096,0.0031096
176,5295.02,0.83083,0.5489,0.95469,0.93756,0.77545,0.84057,0.65626,0.82588,0.48745,0.94648,0.00307,0.00307,0.00307
177,5326.3,0.8311,0.54873,0.95424,0.93617,0.77549,0.83974,0.65617,0.82524,0.48708,0.94621,0.0030304,0.0030304,0.0030304
178,5354.31,0.82823,0.54767,0.952,0.94078,0.77361,0.8395,0.65701,0.82465,0.48669,0.94569,0.0029908,0.0029908,0.0029908
179,5384.92,0.82895,0.54818,0.95128,0.93886,0.77453,0.83954,0.65671,0.82496,0.48673,0.94604,0.0029512,0.0029512,0.0029512
180,5415.88,0.82938,0.54709,0.9539,0.93466,0.77666,0.83932,0.657,0.82449,0.48653,0.94598,0.0029116,0.0029116,0.0029116
181,5443.78,0.82258,0.54424,0.95033,0.93495,0.77672,0.83914,0.65614,0.82485,0.48577,0.94613,0.002872,0.002872,0.002872
182,5474.56,0.82893,0.54528,0.95158,0.93354,0.77703,0.83937,0.65595,0.82514,0.48603,0.9464,0.0028324,0.0028324,0.0028324
183,5503.18,0.82688,0.54651,0.9508,0.93229,0.7782,0.83969,0.65662,0.82435,0.48529,0.94596,0.0027928,0.0027928,0.0027928
184,5534.21,0.82497,0.5441,0.95059,0.93542,0.77748,0.83957,0.65686,0.8241,0.48506,0.94609,0.0027532,0.0027532,0.0027532
185,5565.48,0.82181,0.54045,0.95019,0.93697,0.77817,0.84049,0.65745,0.82374,0.48501,0.94576,0.0027136,0.0027136,0.0027136
