epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.4135,1.52629,4.0534,1.28891,0.05705,0.22612,0.08549,0.05649,1.31758,3.81823,1.17169,0.00328829,0.00328829,0.00328829
2,84.1946,1.402,2.12405,1.21953,0.49892,0.29037,0.2285,0.12472,1.62557,2.00856,1.32035,0.0065954,0.0065954,0.0065954
3,111.722,1.36019,1.53682,1.19074,0.42588,0.36252,0.32734,0.18018,1.51096,2.38343,1.27475,0.00987611,0.00987611,0.00987611
4,143.113,1.3457,1.37525,1.18351,0.42218,0.31509,0.28084,0.15377,1.60178,2.17949,1.40726,0.0098812,0.0098812,0.0098812
5,173.158,1.29615,1.24761,1.16502,0.50556,0.45926,0.44382,0.27654,1.48144,1.9208,1.30136,0.0098416,0.0098416,0.0098416
6,201.071,1.25799,1.16976,1.14905,0.55146,0.46808,0.45908,0.27519,1.43809,1.77865,1.28582,0.009802,0.009802,0.009802
7,232.653,1.24049,1.11917,1.13909,0.6872,0.52417,0.58256,0.38345,1.23816,1.30773,1.14734,0.0097624,0.0097624,0.0097624
8,260.583,1.21301,1.08422,1.12801,0.68694,0.52708,0.58299,0.38464,1.26901,1.20521,1.16328,0.0097228,0.0097228,0.0097228
9,291.634,1.1958,1.04816,1.11763,0.6568,0.53378,0.57147,0.38731,1.23263,1.57258,1.1486,0.0096832,0.0096832,0.0096832
10,322.939,1.18071,1.01553,1.11104,0.60391,0.49931,0.5059,0.3078,1.39123,1.62307,1.21932,0.0096436,0.0096436,0.0096436
11,350.236,1.17271,0.99619,1.10952,0.6319,0.48155,0.5042,0.33728,1.3379,1.77717,1.20904,0.009604,0.009604,0.009604
12,381.364,1.15705,0.97304,1.10235,0.74119,0.59298,0.65322,0.43387,1.2252,1.11482,1.11524,0.0095644,0.0095644,0.0095644
13,412.28,1.1481,0.95989,1.09744,0.75899,0.55467,0.63261,0.44177,1.17128,1.01626,1.11335,0.0095248,0.0095248,0.0095248
14,439.996,1.14632,0.94659,1.09722,0.81457,0.64051,0.71668,0.49924,1.13758,0.86652,1.09453,0.0094852,0.0094852,0.0094852
15,471.45,1.12404,0.91807,1.08387,0.78644,0.59735,0.67317,0.46972,1.13809,1.00845,1.09108,0.0094456,0.0094456,0.0094456
16,498.857,1.11655,0.9008,1.08236,0.83372,0.63051,0.71587,0.50631,1.11786,0.83916,1.09367,0.009406,0.009406,0.009406
17,530.751,1.12015,0.8933,1.08293,0.80838,0.60985,0.68658,0.48677,1.0983,0.92135,1.07586,0.0093664,0.0093664,0.0093664
18,561.577,1.11236,0.88536,1.08237,0.75873,0.60931,0.65954,0.43537,1.21877,1.04783,1.13097,0.0093268,0.0093268,0.0093268
19,589.295,1.10284,0.87688,1.07803,0.82772,0.65049,0.72088,0.50284,1.11419,0.83842,1.0834,0.0092872,0.0092872,0.0092872
20,620.719,1.10407,0.86005,1.07604,0.83169,0.6517,0.72994,0.51792,1.11442,0.87579,1.06748,0.0092476,0.0092476,0.0092476
21,649.777,1.09373,0.84846,1.07192,0.82203,0.6614,0.72634,0.50537,1.14797,0.83082,1.10201,0.009208,0.009208,0.009208
22,679.963,1.08518,0.84254,1.06674,0.78004,0.60621,0.67637,0.45401,1.14556,0.91077,1.08434,0.0091684,0.0091684,0.0091684
23,710.983,1.07867,0.83499,1.06599,0.83855,0.66586,0.74546,0.53404,1.06162,0.77854,1.06802,0.0091288,0.0091288,0.0091288
24,738.117,1.07438,0.82508,1.06196,0.8398,0.65178,0.7324,0.51352,1.09378,0.79931,1.08698,0.0090892,0.0090892,0.0090892
25,769.556,1.07827,0.82139,1.06506,0.82625,0.62605,0.71337,0.5094,1.12999,0.87402,1.08411,0.0090496,0.0090496,0.0090496
